scenario,arch,ts,pid,cpu_percent,rss_mb
cold_warm_probe,serverless,1779182968.4533663,33024,0.0,14.56
cold_warm_probe,serverless,1779182968.704345,33024,0.0,14.56
cold_warm_probe,serverless,1779182968.954694,33024,0.0,14.56
cold_warm_probe,serverless,1779182969.2050598,33024,0.0,14.56
cold_warm_probe,serverless,1779182969.4555995,33024,0.0,14.56
cold_warm_probe,serverless,1779182969.706891,33024,0.0,14.56
cold_warm_probe,serverless,1779182969.957201,-1,0.0,0.0
cold_warm_probe,serverless,1779182970.2080388,30528,0.0,14.42
cold_warm_probe,serverless,1779182970.4590912,30528,0.0,14.42
cold_warm_probe,serverless,1779182970.710039,30528,0.0,14.42
cold_warm_probe,serverless,1779182970.9608629,30528,0.0,14.42
cold_warm_probe,serverless,1779182971.212067,30528,0.0,14.42
cold_warm_probe,serverless,1779182971.463598,30528,0.0,14.42
cold_warm_probe,serverless,1779182971.7147963,30528,0.0,14.42
cold_warm_probe,serverless,1779182971.9653323,30528,0.0,14.42
cold_warm_probe,serverless,1779182972.216065,30528,0.0,14.42
cold_warm_probe,serverless,1779182972.4664266,30528,0.0,14.42
cold_warm_probe,serverless,1779182972.7167537,30528,0.0,14.42
cold_warm_probe,serverless,1779182972.9671106,-1,0.0,0.0
cold_warm_probe,serverless,1779182973.2183325,28732,0.0,14.41
cold_warm_probe,serverless,1779182973.4691305,28732,0.0,14.41
cold_warm_probe,serverless,1779182973.7198288,28732,0.0,14.41
cold_warm_probe,serverless,1779182973.9710474,28732,0.0,14.41
cold_warm_probe,serverless,1779182974.2222953,28732,0.0,14.41
cold_warm_probe,serverless,1779182974.4735577,28732,0.0,14.41
cold_warm_probe,serverless,1779182974.7240136,28732,0.0,14.41
cold_warm_probe,serverless,1779182974.9745083,28732,0.0,14.41
cold_warm_probe,serverless,1779182975.2253437,28732,0.0,14.41
cold_warm_probe,serverless,1779182975.4767282,28732,0.0,14.41
cold_warm_probe,serverless,1779182975.7277257,28732,0.0,14.41
cold_warm_probe,serverless,1779182975.9779298,-1,0.0,0.0
cold_warm_probe,serverless,1779182976.228915,34012,0.0,14.53
light_load,serverless,1779182976.9903736,-1,0.0,0.0
light_load,serverless,1779182977.2414129,28916,0.0,14.4
light_load,serverless,1779182977.492222,28916,6.2,14.4
light_load,serverless,1779182977.7427053,28916,6.2,14.41
light_load,serverless,1779182977.9930055,28916,6.2,14.41
light_load,serverless,1779182978.244248,28916,6.2,14.41
light_load,serverless,1779182978.494592,28916,6.2,14.41
light_load,serverless,1779182978.7460933,28916,6.2,14.41
light_load,serverless,1779182978.9965575,28916,6.2,14.41
light_load,serverless,1779182979.2479227,28916,6.2,14.41
light_load,serverless,1779182979.499104,28916,6.2,14.41
light_load,serverless,1779182979.75055,28916,6.2,14.41
light_load,serverless,1779182980.0015502,28916,6.2,14.41
light_load,serverless,1779182980.2527924,28916,6.2,14.41
light_load,serverless,1779182980.5038772,28916,6.2,14.41
light_load,serverless,1779182980.754893,28916,6.2,14.41
medium_load,serverless,1779182981.516217,-1,0.0,0.0
medium_load,serverless,1779182981.767321,33176,0.0,14.63
medium_load,serverless,1779182982.0185938,33176,49.7,14.63
medium_load,serverless,1779182982.2692153,33176,43.6,14.68
medium_load,serverless,1779182982.5198362,33176,37.4,14.83
medium_load,serverless,1779182982.7708902,33176,49.8,15.02
medium_load,serverless,1779182983.0213294,33176,49.9,15.02
medium_load,serverless,1779182983.2721267,33176,37.4,15.02
medium_load,serverless,1779182983.5226905,33176,37.4,14.9
medium_load,serverless,1779182983.773556,33176,49.8,14.97
medium_load,serverless,1779182984.024128,33176,49.9,14.97
medium_load,serverless,1779182984.2753987,33176,37.3,14.99
medium_load,serverless,1779182984.525877,33176,43.7,15.02
medium_load,serverless,1779182984.7772233,33176,43.5,15.02
medium_load,serverless,1779182985.0283687,33176,49.8,15.02
medium_load,serverless,1779182985.2788763,33176,43.7,15.02
medium_load,serverless,1779182985.5293107,33176,43.7,15.02
medium_load,serverless,1779182985.780566,33176,43.5,15.02
medium_load,serverless,1779182986.0319145,33176,49.7,15.02
medium_load,serverless,1779182986.2824354,33176,43.7,15.02
medium_load,serverless,1779182986.532852,33176,37.4,15.02
medium_load,serverless,1779182986.7846792,33176,43.4,15.02
heavy_load,serverless,1779182987.5448222,-1,0.0,0.0
heavy_load,serverless,1779182987.795807,16436,0.0,14.72
heavy_load,serverless,1779182988.0461469,16436,68.7,14.72
heavy_load,serverless,1779182988.296803,16436,68.6,14.73
heavy_load,serverless,1779182988.547333,16436,62.4,14.73
heavy_load,serverless,1779182988.7978554,16436,62.4,14.73
heavy_load,serverless,1779182989.0481887,16436,74.9,14.73
heavy_load,serverless,1779182989.2986379,16436,68.6,14.73
heavy_load,serverless,1779182989.549208,16436,62.3,14.73
heavy_load,serverless,1779182989.7995403,16436,74.9,14.73
heavy_load,serverless,1779182990.0502203,16436,62.3,14.73
heavy_load,serverless,1779182990.3006132,16436,62.4,14.73
heavy_load,serverless,1779182990.551141,16436,62.4,14.73
heavy_load,serverless,1779182990.801502,16436,62.4,14.73
heavy_load,serverless,1779182991.0519083,16436,68.6,14.73
heavy_load,serverless,1779182991.3021321,16436,62.4,14.73
heavy_load,serverless,1779182991.5525346,16436,62.4,14.73
heavy_load,serverless,1779182991.8029854,16436,62.4,14.73
heavy_load,serverless,1779182992.0533695,16436,56.2,14.73
heavy_load,serverless,1779182992.3036067,16436,62.4,14.73
